μ子数据
开始时间,19:22:03
测量时间,592.6
μ子衰变数,10330
μ子通量数,1718
日期时间,μ子寿命
20221205 19:22:52,1.55
20221205 19:22:52,4.89
20221205 19:22:52,2.19
20221205 19:22:52,0.86
20221205 19:22:52,4
20221205 19:22:52,2.93
20221205 19:22:52,0.65
20221205 19:22:52,0.88
20221205 19:22:52,0.52
20221205 19:22:52,1.98
20221205 19:22:52,4.03
20221205 19:22:53,4.13
20221205 19:22:53,2.03
20221205 19:22:53,0.58
20221205 19:22:53,0.34
20221205 19:22:53,1.31
20221205 19:22:53,1.91
20221205 19:22:53,13.77
20221205 19:22:53,4.43
20221205 19:22:53,1.6
20221205 19:22:53,0.54
20221205 19:22:53,0.76
20221205 19:22:53,0.48
20221205 19:22:53,1.93
20221205 19:22:53,3.61
20221205 19:22:53,3.58
20221205 19:22:53,7.43
20221205 19:22:54,2.15
20221205 19:22:54,2.09
20221205 19:22:54,1.47
20221205 19:22:54,2.13
20221205 19:22:54,0.81
20221205 19:22:54,0.98
20221205 19:22:54,1.56
20221205 19:22:54,0.57
20221205 19:22:54,3.98
20221205 19:22:54,5.51
20221205 19:22:54,1.8
20221205 19:22:54,3.28
20221205 19:22:54,5.55
20221205 19:22:54,0.4
20221205 19:22:54,4.31
20221205 19:22:54,1.69
20221205 19:22:54,7.54
20221205 19:22:54,0.28
20221205 19:22:54,1.41
20221205 19:22:54,1.07
20221205 19:22:54,0.14
20221205 19:22:54,0.75
20221205 19:22:55,5.98
20221205 19:22:55,1.46
20221205 19:22:55,1.14
20221205 19:22:55,2.73
20221205 19:22:55,6.23
20221205 19:22:55,2.41
20221205 19:22:55,0.55
20221205 19:22:55,0.34
20221205 19:22:55,5
20221205 19:22:55,2.02
20221205 19:22:55,1.34
20221205 19:22:55,0.12
20221205 19:22:55,0.53
20221205 19:22:55,1.99
20221205 19:22:55,1.2
20221205 19:22:55,1.84
20221205 19:22:55,0.84
20221205 19:22:55,0.48
20221205 19:22:55,0.19
20221205 19:22:56,0.25
20221205 19:22:56,2.96
20221205 19:22:56,0.67
20221205 19:22:56,0.48
20221205 19:22:56,3.74
20221205 19:22:56,10.01
20221205 19:22:56,2.66
20221205 19:22:56,1.36
20221205 19:22:56,0.76
20221205 19:22:56,3.48
20221205 19:22:56,3.58
20221205 19:22:56,0.55
20221205 19:22:56,0.84
20221205 19:22:56,1.37
20221205 19:22:56,0.35
20221205 19:22:56,0.25
20221205 19:22:56,0.23
20221205 19:22:56,2.24
20221205 19:22:56,6
20221205 19:22:57,0.65
20221205 19:22:57,1.5
20221205 19:22:57,0.6
20221205 19:22:57,5.29
20221205 19:22:57,1.96
20221205 19:22:57,3.79
20221205 19:22:57,2.17
20221205 19:22:57,1.33
20221205 19:22:57,1.08
20221205 19:22:57,2.03
20221205 19:22:57,0.19
20221205 19:22:57,2.07
20221205 19:22:57,1.98
20221205 19:22:57,1.81
20221205 19:22:57,1.43
20221205 19:22:57,8.38
20221205 19:22:57,0.35
20221205 19:22:58,11.78
20221205 19:22:58,1.8
20221205 19:22:58,2.17
20221205 19:22:58,0.71
20221205 19:22:58,3.58
20221205 19:22:58,1.57
20221205 19:22:58,0.18
20221205 19:22:58,3.83
20221205 19:22:58,0.5
20221205 19:22:58,3.41
20221205 19:22:58,4.82
20221205 19:22:58,6.93
20221205 19:22:58,1.26
20221205 19:22:58,1.44
20221205 19:22:58,0.97
20221205 19:22:58,0.19
20221205 19:22:58,2.87
20221205 19:22:59,1.38
20221205 19:22:59,2.48
20221205 19:22:59,2.52
20221205 19:22:59,2.97
20221205 19:22:59,4.51
20221205 19:22:59,3.87
20221205 19:22:59,6.01
20221205 19:22:59,3.95
20221205 19:22:59,0.46
20221205 19:22:59,1.95
20221205 19:22:59,0.98
20221205 19:22:59,1.36
20221205 19:22:59,2.96
20221205 19:22:59,0.51
20221205 19:22:59,0.33
20221205 19:22:59,3.59
20221205 19:23:00,1.49
20221205 19:23:00,0.97
20221205 19:23:00,0.1
20221205 19:23:00,0.15
20221205 19:23:00,0.89
20221205 19:23:00,0.55
20221205 19:23:00,0.52
20221205 19:23:00,0.78
20221205 19:23:00,4.35
